sID,nTotal,confidence_peer,s
201,5,1,0.1865546218487395
201,5,2,0.364437441643324
201,5,3,0.6287763253449528
201,45,1,0.21533613445378152
201,45,2,0.3994644153957879
201,45,3,0.5037683823529412
203,5,1,0.2886846405228758
203,5,2,0.4283513405362145
203,5,3,0.6852249874308698
203,45,1,0.05960988562091503
203,45,2,0.26238328664799254
203,45,3,0.4852124183006536
207,5,1,0.4578794480755265
207,5,2,0.6329411764705882
207,5,3,0.7518954248366013
207,45,1,0.20943313222724988
207,45,2,0.5167892156862745
207,45,3,0.5373366013071895
210,5,1,0.4223529411764706
210,5,2,0.4881699346405229
210,5,3,0.46326797385620916
210,45,1,0.30683760683760686
210,45,2,0.39436337355455003
210,45,3,0.3417339115133233
218,5,1,0.11416433239962652
218,5,2,0.363234126984127
218,5,3,0.8180555555555555
218,45,1,0.07208333333333333
218,45,2,0.31523692810457515
218,45,3,0.793218954248366
219,5,1,0.19993645606390706
219,5,2,0.4917483660130719
219,5,3,0.6168790849673202
219,45,1,0.08223039215686274
219,45,2,0.4412037037037037
219,45,3,0.4880718954248366
221,5,1,0.13125
221,5,2,0.18125
221,5,3,0.2854901960784314
221,45,1,0.20634531590413943
221,45,2,0.23176358862633373
221,45,3,0.5098774509803922
223,5,1,0.17519607843137255
223,5,2,0.3545506535947712
223,5,3,0.4986274509803922
223,45,1,0.2586029411764706
223,45,2,0.46053571428571427
223,45,3,0.5013373554550025
225,5,1,0
225,5,2,0.21791666666666665
225,5,3,0.46034313725490195
225,45,1,0.0125
225,45,2,0.2337173202614379
225,45,3,0.4907843137254902
226,5,1,0
226,5,2,0.05555555555555556
226,5,3,0
226,45,1,0.1502777777777778
226,45,2,0.3202614379084967
226,45,3,0.41523225957049487
229,5,1,0.2378982843137255
229,5,2,0.1370098039215686
229,5,3,0.1170016339869281
229,45,1,0.16540032679738562
229,45,2,0.11388134741075917
229,45,3,0.14023692810457516
232,5,1,0.08333333333333333
232,5,2,0.00625
232,5,3,0.0682643427741467
232,45,1,0.12421218487394958
232,45,2,0.18518518518518517
232,45,3,0.18379901960784314
236,5,1,0.0392156862745098
236,5,2,0.613362381989833
236,5,3,0.6305555555555555
236,45,1,0
236,45,2,0.15555555555555556
236,45,3,0.28802083333333334
237,5,1,0.2375
237,5,2,0.43716412490922296
237,5,3,0.5243545751633987
237,45,1,0.25798838053740014
237,45,2,0.42463360985419807
237,45,3,0.5635997988939165
238,5,1,0.18287037037037035
238,5,2,0.4176797385620915
238,5,3,0.6254901960784314
238,45,1,0.05092592592592592
238,45,2,0.1388888888888889
238,45,3,0.5046965452847806
243,5,1,0.4095690359477124
243,5,2,0.3463643790849673
243,5,3,0.5352124183006536
243,45,1,0.27627450980392154
243,45,2,0.3400081699346405
243,45,3,0.2837301587301587
244,5,1,0.49799019607843137
244,5,2,0.6695588235294118
244,5,3,0.928562091503268
244,45,1,0.02222222222222222
244,45,2,0.24622367465504721
244,45,3,0.31529593318809007
245,5,1,0.47451797385620914
245,5,2,0.6812745098039216
245,5,3,0.9686519607843137
245,45,1,0.0868627450980392
245,45,2,0.41573529411764704
245,45,3,0.5095588235294117
247,5,1,0.022222222222222223
247,5,2,0.18663398692810457
247,5,3,0.22950980392156864
247,45,1,0
247,45,2,0.18068264342774146
247,45,3,0.38450980392156864
249,5,1,0.44607843137254904
249,5,2,0.5344226579520697
249,5,3,0.5892892156862745
249,45,1,0.26429738562091504
249,45,2,0.476593137254902
249,45,3,0.4996171802054155
250,5,1,0.1071813725490196
250,5,2,0.4534313725490196
250,5,3,0.6895833333333333
250,45,1,0.040277777777777773
250,45,2,0.3652696078431372
250,45,3,0.4267075163398693
252,5,1,0
252,5,2,0.01111111111111111
252,5,3,0
252,45,1,0.015165441176470588
252,45,2,0.22705065359477125
252,45,3,0.20649509803921567
253,5,1,0.17133520074696545
253,5,2,0.19305555555555556
253,5,3,0.08888888888888889
253,45,1,0.27708333333333335
253,45,2,0.28394607843137254
253,45,3,0.29027777777777775
255,5,1,0.48919117647058824
255,5,2,0.631062091503268
255,5,3,0.707312091503268
255,45,1,0.38053949500027934
255,45,2,0.4590032679738562
255,45,3,0.6925848416289593
263,5,1,0.28854575163398694
263,5,2,0.3895588235294118
263,5,3,0.37407407407407406
263,45,1,0.1796078431372549
263,45,2,0.3280882352941176
263,45,3,0.5268700072621642
269,5,1,0.14107843137254902
269,5,2,0.3253921568627451
269,5,3,0.3379811183732752
269,45,1,0.18666666666666668
269,45,2,0.24794730392156863
269,45,3,0.38875
271,5,1,0.06790123456790123
271,5,2,0.24656862745098038
271,5,3,0.27600762527233114
271,45,1,0.09089506172839507
271,45,2,0.23007703081232492
271,45,3,0.4498611111111111
272,5,1,0.04236111111111111
272,5,2,0.08529411764705883
272,5,3,0.13902777777777778
272,45,1,0.0672930283224401
272,45,2,0.35129785247432305
272,45,3,0.24371732026143791
274,5,1,0.2515114379084967
274,5,2,0.5481045751633987
274,5,3,0.608063725490196
274,45,1,0.09301470588235294
274,45,2,0.44419934640522873
274,45,3,0.5520424836601308
285,5,1,0.05925925925925926
285,5,2,0.4816923436041083
285,5,3,0.7375155617802677
285,45,1,0.05294117647058824
285,45,2,0.2616421568627451
285,45,3,0.4643891402714932
287,5,1,0.4582598039215686
287,5,2,0.5591258169934641
287,5,3,0.7566666666666666
287,45,1,0.15958605664488018
287,45,2,0.2908088235294118
287,45,3,0.6338071895424836
288,5,1,0.3804575163398693
288,5,2,0.5411111111111111
288,5,3,0.6174673202614379
288,45,1,0.18742458521870287
288,45,2,0.4218954248366013
288,45,3,0.6169934640522876
291,5,1,0.008333333333333333
291,5,2,0.13635620915032678
291,5,3,0.5089624183006536
291,45,1,0.023529411764705882
291,45,2,0.10058097312999274
291,45,3,0.12372004357298474
292,5,1,0.3795996732026144
292,5,2,0.7601960784313726
292,5,3,0.9585330428467683
292,45,1,0.15064228255404727
292,45,2,0.3116993464052288
292,45,3,0.44607843137254904
297,5,1,0
297,5,2,0.6018518518518519
297,5,3,0.9569852941176471
297,45,1,0.18472222222222223
297,45,2,0.7146942110177404
297,45,3,0.9777777777777777
307,5,1,0.4274328249818446
307,5,2,0.509111921121725
307,5,3,0.7053781512605042
307,45,1,0.30515613652868556
307,45,2,0.5429166666666667
307,45,3,0.648538489469862
308,5,1,0.22181372549019607
308,5,2,0.49609477124183005
308,5,3,0.6553104575163399
308,45,1,0.15725490196078432
308,45,2,0.33137254901960783
308,45,3,0.5433986928104575
315,5,1,0
315,5,2,0.061111111111111116
315,5,3,0.48098220769789396
315,45,1,0.013071895424836602
315,45,2,0.27589869281045754
315,45,3,0.48933006535947715
320,5,1,0.3889705882352941
320,5,2,0.5315904139433552
320,5,3,0.7476225490196078
320,45,1,0.3329014939309057
320,45,2,0.3226397966594045
320,45,3,0.5377450980392157
322,5,1,0.36427287581699347
322,5,2,0.32319444444444445
322,5,3,0.5022712418300653
322,45,1,0.23612053795877325
322,45,2,0.2767857142857143
322,45,3,0.5142156862745098
323,5,1,0.22166666666666665
323,5,2,0.32666666666666666
323,5,3,0.498031045751634
323,45,1,0.08333333333333333
323,45,2,0.336078431372549
323,45,3,0.44611577964519145
324,5,1,0.30911064425770307
324,5,2,0.43135439360929556
324,5,3,0.5521160130718954
324,45,1,0.27079702251270876
324,45,2,0.40872899159663867
324,45,3,0.49900145243282495
329,5,1,0.25590050835148875
329,5,2,0.5111928104575163
329,5,3,0.6122004357298475
329,45,1,0.33366402116402116
329,45,2,0.42856209150326796
329,45,3,0.5675186741363212
331,5,1,0.12665214233841685
331,5,2,0.2262826797385621
331,5,3,0.33219862018881624
331,45,1,0.06241830065359477
331,45,2,0.25308641975308643
331,45,3,0.3337690631808279
332,5,1,0.11805555555555555
332,5,2,0.19621459694989107
332,5,3,0.6785039941902686
332,45,1,0.05816993464052288
332,45,2,0.30136846405228757
332,45,3,0.4551797385620915
333,5,1,0.1313362381989833
333,5,2,0.3498910675381264
333,5,3,0.37004901960784314
333,45,1,0.18073529411764705
333,45,2,0.24575980392156863
333,45,3,0.2693464052287582
335,5,1,0.07676470588235294
335,5,2,0.1875735294117647
335,5,3,0.21098856209150327
335,45,1,0.32799564270152504
335,45,2,0.4542892156862745
335,45,3,0.5218137254901961
336,5,1,0.1411764705882353
336,5,2,0.16397966594045027
336,5,3,0.26793754538852577
336,45,1,0.2623039215686275
336,45,2,0.33572984749455337
336,45,3,0.28537581699346404
338,5,1,0.29166666666666663
338,5,2,0.4513316993464052
338,5,3,0.6545833333333333
338,45,1,0.21120448179271709
338,45,2,0.3932843137254902
338,45,3,0.5759967320261438
339,5,1,0.357312091503268
339,5,2,0.563937908496732
339,5,3,0.6661192810457517
339,45,1,0.2513562091503268
339,45,2,0.2081517792302106
339,45,3,0.5551528944911298
340,5,1,0.2129187091503268
340,5,2,0.411437908496732
340,5,3,0.6065522875816993
340,45,1,0.17469135802469135
340,45,2,0.36409378566241307
340,45,3,0.48302469135802467
341,5,1,0.35625
341,5,2,0.38726397966594045
341,5,3,0.41319898329702254
341,45,1,0.1878177196804648
341,45,2,0.34810457516339866
341,45,3,0.3961519607843137
342,5,1,0.5126143790849673
342,5,2,0.6984150326797386
342,5,3,0.860547385620915
342,45,1,0.14752450980392157
342,45,2,0.4053740014524328
342,45,3,0.5511764705882353
343,5,1,0
343,5,2,0.11024305555555555
343,5,3,0.3463541666666667
343,45,1,0.032679738562091505
343,45,2,0.2985566448801743
343,45,3,0.40511437908496734
344,5,1,0.48957866479925305
344,5,2,0.5273420479302832
344,5,3,0.7786437908496732
344,45,1,0.32260348583877996
344,45,2,0.4353022875816993
344,45,3,0.49134453781512605
345,5,1,0.45725490196078433
345,5,2,0.6383169934640522
345,5,3,0.8232352941176471
345,45,1,0.05607843137254902
345,45,2,0.3780065359477124
345,45,3,0.5262009803921569
346,5,1,0.5002777777777778
346,5,2,0.7740277777777778
346,5,3,0.8930065359477124
346,45,1,0.19050472040668118
346,45,2,0.4293137254901961
346,45,3,0.5493589743589744
353,5,1,0.18206245461147422
353,5,2,0.1320079883805374
353,5,3,0.2779248366013072
353,45,1,0.12395833333333334
353,45,2,0.12061274509803921
353,45,3,0.39866557734204794
355,5,1,0.08004720406681191
355,5,2,0.3426797385620915
355,5,3,0.6388235294117647
355,45,1,0.04134803921568627
355,45,2,0.2786111111111111
355,45,3,0.39726495726495725
358,5,1,0.4573257080610022
358,5,2,0.5523039215686274
358,5,3,0.6722549019607843
358,45,1,0.48884803921568626
358,45,2,0.5954325177364393
358,45,3,0.6373447712418301
360,5,1,0.272859477124183
360,5,2,0.49605392156862743
360,5,3,0.6569607843137255
360,45,1,0.19847222222222222
360,45,2,0.33650793650793653
360,45,3,0.4859967320261438
363,5,1,0.22030812324929971
363,5,2,0.45073529411764707
363,5,3,0.5853676470588235
363,45,1,0.21458333333333332
363,45,2,0.44092823026646555
363,45,3,0.33888134741075915
364,5,1,0.1597222222222222
364,5,2,0.20555555555555555
364,5,3,0.27235838779956423
364,45,1,0.15235890652557318
364,45,2,0.24282861292665214
364,45,3,0.331781045751634
366,5,1,0.14836601307189543
366,5,2,0.4049754901960784
366,5,3,0.5930283224400872
366,45,1,0.11274509803921569
366,45,2,0.18222455648926236
366,45,3,0.19854886399004046
